GP,Date,Unnamed: 2,Opponent,GF,GA,Unnamed: 6,Unnamed: 7,W,L,T,OL,Streak,Season,Att.,LOG,Notes
1,1999-10-02,,Carolina Hurricanes,1,3,L,,0,1,0.0,0,L 1,2000,,,
2,1999-10-04,@,Toronto Maple Leafs,0,4,L,,0,2,0.0,0,L 2,2000,,,
3,1999-10-07,@,Ottawa Senators,3,4,L,,0,3,0.0,0,L 3,2000,,,
4,1999-10-09,,Philadelphia Flyers,1,1,T,OT,0,3,1.0,0,T 1,2000,,,
5,1999-10-11,,Colorado Avalanche,3,3,T,OT,0,3,2.0,0,T 2,2000,,,
6,1999-10-13,@,Colorado Avalanche,1,2,L,,0,4,2.0,0,L 1,2000,,,
7,1999-10-15,@,Dallas Stars,2,2,T,OT,0,4,3.0,0,T 1,2000,,,
8,1999-10-16,@,Phoenix Coyotes,1,2,L,,0,5,3.0,0,L 1,2000,,,
9,1999-10-20,@,Los Angeles Kings,2,2,T,OT,0,5,4.0,0,T 1,2000,,,
10,1999-10-23,@,San Jose Sharks,3,1,W,,1,5,4.0,0,W 1,2000,,,
11,1999-10-24,@,Mighty Ducks of Anaheim,3,2,W,,2,5,4.0,0,W 2,2000,,,
12,1999-10-28,,Tampa Bay Lightning,7,3,W,,3,5,4.0,0,W 3,2000,,,
13,1999-10-30,,Buffalo Sabres,3,0,W,,4,5,4.0,0,W 4,2000,,,
14,1999-11-04,,New Jersey Devils,3,1,W,,5,5,4.0,0,W 5,2000,,,
15,1999-11-06,,Atlanta Thrashers,4,2,W,,6,5,4.0,0,W 6,2000,,,
16,1999-11-10,@,Buffalo Sabres,2,6,L,,6,6,4.0,0,L 1,2000,,,
17,1999-11-11,,Toronto Maple Leafs,4,3,W,OT,7,6,4.0,0,W 1,2000,,,
18,1999-11-13,@,New York Rangers,5,2,W,,8,6,4.0,0,W 2,2000,,,
19,1999-11-17,@,New Jersey Devils,2,2,T,OT,8,6,5.0,0,T 1,2000,,,
20,1999-11-18,,New York Rangers,5,3,W,,9,6,5.0,0,W 1,2000,,,
21,1999-11-20,,Washington Capitals,0,3,L,,9,7,5.0,0,L 1,2000,,,
22,1999-11-22,@,Carolina Hurricanes,2,1,W,,10,7,5.0,0,W 1,2000,,,
23,1999-11-24,@,Nashville Predators,5,2,W,,11,7,5.0,0,W 2,2000,,,
24,1999-11-26,,Vancouver Canucks,2,2,T,OT,11,7,6.0,0,T 1,2000,,,
25,1999-11-28,,New York Islanders,1,2,L,,11,8,6.0,0,L 1,2000,,,
26,1999-12-02,@,Washington Capitals,2,2,T,OT,11,8,7.0,0,T 1,2000,,,
27,1999-12-04,,Chicago Blackhawks,3,9,L,,11,9,7.0,0,L 1,2000,,,
28,1999-12-09,,Edmonton Oilers,2,2,T,OT,11,9,8.0,0,T 1,2000,,,
29,1999-12-11,,Detroit Red Wings,4,5,L,,11,10,8.0,0,L 1,2000,,,
30,1999-12-13,,Phoenix Coyotes,2,0,W,,12,10,8.0,0,W 1,2000,,,
31,1999-12-14,@,Pittsburgh Penguins,2,4,L,,12,11,8.0,0,L 1,2000,,,
